;Opcao;Tempo(ms);Tempo server
0;1;0.000037;0.000246
1;1;0.000039;0.000237
2;1;0.000031;0.000233
3;1;0.000030;0.000313
4;1;0.000024;0.000248
5;1;0.000035;0.000244
6;1;0.000019;0.000141
7;1;0.000033;0.000193
8;1;0.000045;0.000212
9;1;0.000050;0.000237
10;1;0.000044;0.000253
11;1;0.000025;0.000207
12;1;0.000039;0.000212
13;1;0.000039;0.000244
14;1;0.000042;0.000284
15;1;0.000039;0.000236
16;1;0.000033;0.000155
17;1;0.000028;0.000202
18;1;0.000055;0.000269
19;1;0.000040;0.000231
20;1;0.000047;0.000195
21;1;0.000027;0.000213
22;1;0.000043;0.000249
23;1;0.000038;0.000247
24;1;0.000055;0.000224
25;2;0.000038;0.000260
26;2;0.000037;0.000274
27;2;0.000025;0.000210
28;2;0.000040;0.000226
29;2;0.000046;0.000195
30;2;0.000043;0.000265
31;2;0.000039;0.000250
32;2;0.000037;0.000230
33;2;0.000037;0.000233
34;2;0.000028;0.000239
35;2;0.000041;0.000187
36;2;0.000041;0.000230
37;2;0.000021;0.000139
38;2;0.000041;0.000212
39;2;0.000042;0.000248
40;2;0.000027;0.000191
41;2;0.000024;0.000255
42;2;0.000037;0.000235
43;2;0.000045;0.000152
44;2;0.000039;0.000240
45;2;0.000040;0.000258
46;2;0.000044;0.000218
47;2;0.000041;0.000200
48;2;0.000043;0.000273
49;2;0.000040;0.000263
50;3;0.000020;0.000180
51;3;0.000040;0.000243
52;3;0.000038;0.000259
53;3;0.000030;0.000314
54;3;0.000042;0.000282
55;3;0.000041;0.000279
56;3;0.000039;0.000224
57;3;0.000055;0.000294
58;3;0.000018;0.000167
59;3;0.000038;0.000219
60;3;0.000051;0.000247
61;3;0.000041;0.000201
62;3;0.000038;0.000236
63;3;0.000026;0.000259
64;3;0.000041;0.000259
65;3;0.000063;0.000175
66;3;0.000037;0.000127
67;3;0.000038;0.000214
68;3;0.000038;0.000168
69;3;0.000019;0.000186
70;3;0.000047;0.000232
71;3;0.000037;0.000222
72;3;0.000041;0.000240
73;3;0.000040;0.000256
74;3;0.000029;0.000287
75;4;0.000025;0.000252
76;4;0.000038;0.000209
77;4;0.000036;0.000207
78;4;0.000057;0.000292
79;4;0.000043;0.000292
80;4;0.000042;0.000261
81;4;0.000042;0.000271
82;4;0.000035;0.000284
83;4;0.000024;0.000190
84;4;0.000028;0.000259
85;4;0.000018;0.000208
86;4;0.000025;0.000222
87;4;0.000039;0.000235
88;4;0.000043;0.000328
89;4;0.000038;0.000253
90;4;0.000041;0.000209
91;4;0.000043;0.000270
92;4;0.000029;0.000157
93;4;0.000042;0.000239
94;4;0.000038;0.000284
95;4;0.000042;0.000224
96;4;0.000041;0.000262
97;4;0.000053;0.000198
98;4;0.000036;0.000271
99;4;0.000039;0.000279
100;5;0.000045;0.000370
101;5;0.000039;0.000309
102;5;0.000034;0.000287
103;5;0.000048;0.000310
104;5;0.000025;0.000370
105;5;0.000039;0.000360
106;5;0.000038;0.000282
107;5;0.000036;0.000317
108;5;0.000021;0.000212
109;5;0.000034;0.000297
110;5;0.000089;0.000252
111;5;0.000056;0.000303
112;5;0.000039;0.000351
113;5;0.000026;0.000309
114;5;0.000040;0.000372
115;5;0.000024;0.000186
116;5;0.000048;0.000313
117;5;0.000028;0.000336
118;5;0.000027;0.000353
119;5;0.000036;0.000277
120;5;0.000037;0.000296
121;5;0.000026;0.000337
122;5;0.000039;0.000323
123;5;0.000042;0.000301
124;5;0.000056;0.000351
125;6;0.000041;0.000242
126;6;0.000025;0.000182
127;6;0.000036;0.000250
128;6;0.000020;0.000236
129;6;0.000020;0.000168
130;6;0.000037;0.000159
131;6;0.000037;0.000238
132;6;0.000051;0.000252
133;6;0.000039;0.000246
134;6;0.000038;0.000178
135;6;0.000024;0.000161
136;6;0.000029;0.000225
137;6;0.000041;0.000212
138;6;0.000041;0.000251
139;6;0.000029;0.000241
140;6;0.000040;0.000319
141;6;0.000027;0.000229
142;6;0.000037;0.000237
143;6;0.000038;0.000177
144;6;0.000029;0.000268
145;6;0.000038;0.000254
146;6;0.000044;0.000246
147;6;0.000030;0.000238
148;6;0.000043;0.000287
149;6;0.000046;0.000307
