;Opcao;Media;Desvio;Intervalo de confianca;Tipo
0;1;3.0311111111111124e-05;6.7800839284925715e-06;(2.8910331258956727e-05,3.171189096326552e-05);localhost
0;2;2.9877777777777793e-05;6.32780164495756e-06;(2.8570440413495826e-05,3.118511514205976e-05);localhost
0;3;3.036666666666667e-05;6.126842763380745e-06;(2.9100847837463792e-05,3.1632485495869545e-05);localhost
0;4;2.9755555555555565e-05;6.269797608172109e-06;(2.8460201949429044e-05,3.1050909161682085e-05);localhost
0;5;3.1311111111111115e-05;5.785771863367179e-06;(3.0115758259901136e-05,3.2506463962321094e-05);localhost
0;6;2.918888888888889e-05;7.072488944859232e-06;(2.772769753447063e-05,3.065008024330714e-05);localhost
0;1;5.880000000000003e-05;3.020164442282401e-05;(5.256027561670188e-05,6.503972438329819e-05);ip
0;2;7.085555555555555e-05;2.0684120333181987e-05;(6.65821720210983e-05,7.51289390900128e-05);ip
0;3;8.282222222222223e-05;1.6432755571735357e-05;(7.942717974737449e-05,8.621726469706997e-05);ip
0;4;6.834444444444443e-05;2.7339793244128793e-05;(6.269598464035509e-05,7.399290424853378e-05);ip
0;5;7.27111111111111e-05;1.8245667144231185e-05;(6.894151722491317e-05,7.648070499730904e-05);ip
0;6;8.293333333333335e-05;1.603983804451847e-05;(7.961946846063457e-05,8.624719820603213e-05);ip
